name,stage,category,intro,website
[24]7.AI,Growth,"['AI/ML', 'ENTERPRISE']","[24]7.ai uses AI technology to help businesses attract and retain customers with a personalized, predictive and effortless experience. [24]7.ai gives companies the ability to know and act on consumer intent in milliseconds.",https://www.247.ai/
AMP ROBOTICS,Growth,"['AI/ML', 'CLIMATE TECH', 'ENTERPRISE']","AMP Robotics is changing the face of recycling with high-speed guided robotics. Powered by advanced computer vision and machine learning, the company’s robotics system automates the identification, sorting and processing done by recycling businesses.",https://www.amprobotics.com/
APOLLO.IO,Growth,"['AI/ML', 'ENTERPRISE']","Apollo.io is the leading B2B sales intelligence and engagement platform, trusted by over 160,000 companies and more than one million users globally, from rapidly growing startups to some of the world’s largest enterprises. Apollo.io provides sales teams with easy access to contact data for over 220 million contacts, along with tools to engage with these contacts in one single platform. By helping sales professionals find the most accurate contact information and automating the outreach process, Apollo.io turns prospects into customers.",https://www.apollo.io/
AQUARIUM,Seed,['AI/ML'],Aquarium is a machine learning data management system. It helps teams improve their models by improving their datasets.,http://aquariumlearning.com/
ARCWISE,Arc,"['AI/ML', 'ENTERPRISE']","Arcwise is a platform for analytical but non-technical business users to build, publish, and maintain data and ML applications, all from their spreadsheet. They’re building a collaborative workspace to bridge the gap between business operators and technical data experts — ”arcing” the divide between notebooks and spreadsheets. Arcwise is the missing tool that would have saved years of person-hours at Flexport, where business-critical data applications repeatedly took months to move from spreadsheets to Python.",http://arcwise.app/
ATHELAS,Growth,"['AI/ML', 'HEALTHCARE']","Athelas builds sensors and software tools to manage chronically ill patients in the home. It serves over 40,000 patients nationally, and works with national healthcare systems, small practices, and digital health companies to provide telehealth.",https://athelas.com/
ATTENTIVE,Growth,"['AI/ML', 'ENTERPRISE']","Attentive is a personalized text messaging platform for innovative brands. Using real-time behavioral data, Attentive automatically sends engaging text messages to each subscriber at every step of their customer journey.",https://attentivemobile.com/
AURORA,IPO,"['AI/ML', 'CLIMATE TECH', 'ENTERPRISE']","Aurora delivers the benefits of self-driving technology safely and efficiently. Aurora is solving today’s most complex AI, automation and engineering challenges to catalyze the self-driving revolution.",https://aurora.tech/
CAPTIONS,Growth,"['AI/ML', 'CONSUMER']","Captions is an AI-powered creative studio. Their goal is to enable anyone, anywhere to produce studio-quality videos with just a few quick taps.",https://www.captions.ai/
CLOSEFACTOR,Early,['AI/ML'],"CloseFactor uses machine learning to automatically curate unstructured information about companies and extract meaningful intelligence that go-to-market teams can act on. With this intelligence, we help companies identify their best customers, empower their sales forces at scale, and exceed growth expectations.",https://www.closefactor.com/
CO:HELM,Seed,"['AI/ML', 'HEALTHCARE']","Co:Helm is alleviating the $950 billion administrative burden in the U.S. healthcare by supercharging health plans with AI co:pilots for complex and manual workflows. Built on healthcare-ready LLM infrastructure, their first co:pilots tackle Prior Authorizations, streamlining them from hours to minutes and saving millions of dollars in operational overheads. Co:Helm is founded by ex-clinicians and AI engineers from Google and Insurtech.",https://www.co-helm.com/
COBALT ROBOTICS,Growth,"['AI/ML', 'ENTERPRISE']","Cobalt Robotics uses AI, autonomy and robotic automation to protect people, places and property.",https://cobaltrobotics.com/
COBOT,Early,['AI/ML'],Cobot is redefining the future of human-robot interaction by building practical cobots that have human-like capabilities.,https://www.co.bot/
CRESTA,Growth,"['AI/ML', 'ENTERPRISE']","Cresta provides real-time coaching for call centers. By learning from the experts on a team, Cresta’s AI trains sales and service representatives to make every conversation with customers count.",https://www.cresta.com/
CTRLSTACK,Early,"['AI/ML', 'ENTERPRISE']","CtrlStack provides change intelligence for DevOps to prevent downtime and identify changes before they impact customers. The platform unifies disconnected data, teams, and tools to connect cause to effect in DevOps. Harnessing the power of those connections, CtrlStack enables automated troubleshooting and serves as the system of record for change management.",https://www.ctrlstack.com/
DUST,Seed,"['AI/ML', 'ENTERPRISE']","Dust is an AI operating system for smart teams. It reshapes information management in the workplace by combining multiple large language models to process information, making it readily available when needed and in the format that makes sense. Dust can augment humans, enhance productivity, foster diversity and facilitate a more dynamic, personalized work experience.",https://dust.tt/
EMBARK TRUCKS,IPO,"['AI/ML', 'CLIMATE TECH', 'ENTERPRISE']","Embark builds software for carriers so they can integrate autonomous trucks into their fleets. Its mission: to build a world where consumers pay less for the things they need, drivers stay close to the homes they cherish, and roads are safer for the people they love.",https://embarktrucks.com/
ENTOS,Early,"['AI/ML', 'HEALTHCARE']","Entos is disrupting therapeutic discovery with OrbNet, a cutting-edge platform that combines AI technology with automated synthetic development. The platform can rapidly generate small-molecule therapeutics.",https://www.entos.ai/
FACTORY,Seed,"['AI/ML', 'ENTERPRISE']","Factory is bringing autonomy to software engineering. Factory’s Droids robustly, reliably, and autonomously solve engineering tasks, like code review, documentation, testing, debugging, coding, and project management.",https://factory.ai/
GITHUB,Acquired,"['AI/ML', 'ENTERPRISE']",GitHub is the world’s standard for software development. Its passionate community helps developers discover and build millions of projects.,https://www.github.com/
GLADIA,Seed,"['AI/ML', 'ENTERPRISE']","Powered by generative AI, Gladia is an audio intelligence API distinguished by exceptional accuracy and speed of transcription, extended multilingual capabilities, and state-of-the-art features, including speaker separation, word-level timestamps, and code-switching. It allows companies to easily embed language AI into their products to derive valuable insights from audio data.",https://www.gladia.io/
GLEAN,Growth,"['ENTERPRISE', 'AI/ML']","Glean is the work assistant with intuition. It brings all your company’s knowledge together, so you can search for exactly what you need and discover the things you should know. Glean searches across all your company’s apps, using its understanding of who you are, what you’re working on, and who you’re working with, to deliver highly personalized results, instantly. It surfaces knowledge and makes connections with the people who can help—making it easier for you and your team to get big things done.",https://www.glean.com/
GONG,Growth,"['AI/ML', 'ENTERPRISE']","Gong helps revenue teams realize their full potential by sharing customer insights. Gong’s platform captures customer interactions and delivers insights at scale so revenue teams feel empowered to make decisions with data. With Gong, customers see improved win rates, larger deals and faster employee ramp-up times.",https://www.gong.io/
HARVEY,Early,"['AI/ML', 'ENTERPRISE']",Harvey is a generative AI company backed by Sequoia and OpenAI. They partner with elite law firms and professional service providers to augment their expertise with cutting edge AI to tackle the world’s most complex business challenges.,https://www.harvey.ai/
HEX TECHNOLOGIES,Growth,['AI/ML'],"Hex is a platform for collaborative analytics and data science. With Hex, teams can work together across SQL, Python, R, and no-code. Hex notebooks have powerful AI assist built right in, to help generate queries, debug errors, and document code. Once finished with analysis, users can publish projects as beautiful, interactive reports that anyone can use. Hex is helping hundreds of data teams do amazing things with data, together.",https://hex.tech/
HUGGING FACE,Growth,['AI/ML'],"Hugging Face is a community-based repository for open-source ML technology. It is a platform that stores, serves, and manages the latest and greatest in open-source ML models, including enabling customers to fine-tune these models and deploy them at scale. Hugging Face’s secret sauce is its community: it has become a go-to destination for companies and researchers in the world of ML to collaborate. In this respect, it can be loosely analogized to GitHub, but for ML rather than traditional software engineering.",https://huggingface.co/
INSTACART,IPO,"['AI/ML', 'CONSUMER']","Instacart is building the best way for people around the world to shop for groceries and get them delivered instantly. With its vast network of pre-existing grocers and drivers, Instacart offers tremendous inventory and convenience to customers. Its on-demand service is available in most major U.S. metropolitan areas.",http://instacart.com/
IRONCLAD,Growth,"['AI/ML', 'ENTERPRISE']","Ironclad is a contract lifecycle management platform that enables collaboration and negotiation while maintaining compliance. It’s the only platform flexible enough to handle every type of contract workflow, be it a sales agreement, HR agreement or a complex non-disclosure agreement.",https://ironcladapp.com/
KEEN TECHNOLOGIES,,['AI/ML'],Keen Technologies is John Carmack’s AGI effort.,https://keenagi.com/
KUMO,Growth,['AI/ML'],"Kumo is a SaaS AI platform for the modern data stack that allows businesses to make faster, simpler, and smarter predictions. Founded by several pre-eminent AI executives from companies like Pinterest, Airbnb, and LinkedIn, the core technology that underpins Kumo’s product has been in development for the past five years through Stanford/Dortmund labs and PyG open-source software. Kumo makes graph learning easy to use – so any business can leverage the power of graph-based AI to better their business.",http://kumo.ai/
LILT,Growth,"['AI/ML', 'ENTERPRISE']","Lilt is the leading AI solution for enterprise translations. Their stack, made up of our Contextual AI Engine, Connector APIs, and Human Adaptive Feedback, enables global organizations to adopt a true AI translation strategy, focusing on business outcomes instead of outputs. With Lilt, innovative, category-defining organizations like Intel, ASICS, WalkMe, and Canva are using AI technology to deliver multilingual, digital customer experiences at scale.",https://lilt.com/
LINEAR,Early,"['AI/ML', 'ENTERPRISE']","Linear helps developers streamline software projects, sprints, tasks and bug tracking without hampering progress.",https://linear.app/
LOOM,Acquired,"['AI/ML', 'ENTERPRISE']","Loom is a workplace collaboration tool focused on video. It delivers an effective way to communicate in the workplace with quick, instantly shareable videos that get the message across. Loom is now part of Atlassian.",https://www.loom.com/
MEENO,Seed,['AI/ML'],"Meeno’s mission is to help people master the skill of social connection. Its mobile app harnesses AI to enhance all relationships: from friends to romance, from family to work.",https://meeno.com/
MIRAGE,Arc,['AI/ML'],"Mirage is democratizing 3D content creation. They are making it possible for anyone to unleash their creativity by replacing complex design software with AI-augmented tools. Today, they’re redesigning the 3D canvas to enable creatives to visualize 3D concepts and create stunning 2D renders. Mirage believes that machine intelligence supercharges human creativity and is the future of content creation. They are committed to helping creatives realize their most ambitious ideas.",https://mirageml.com/
MUTINY,Growth,"['AI/ML', 'ENTERPRISE']","Mutiny is a no-code AI platform helping marketers convert their top-of-funnel demand into revenue without engineers. It gives marketers what they need to drive revenue and prove it, from data and analytics to AI-powered recommendations.",https://www.mutinyhq.com/
NEEVA,Acquired,"['AI/ML', 'CONSUMER']","Neeva is the world’s first completely ad-free private search engine. It helps users find exactly what matters to them, whether that information is on the web, in their buried emails or an impossible-to-find document. Neeva never shows distracting ads and keeps all searches private.",http://www.neeva.co/
NOTION,Growth,"['AI/ML', 'CONSUMER', 'ENTERPRISE']","Notion is a collaborative workspace for teams. With easy doc sharing, free wiki-software, and project tracking, Notion makes it easy to add information and find later.",https://www.notion.so/
NVIDIA,IPO,"['AI/ML', 'ENTERPRISE']","NVIDIA pioneered the art and science of visual computing. Its invention of the GPU transformed the PC from a tool for productivity into one for creativity and discovery. Enhanced visual graphics benefit everyone, from gamers and scientists to consumers and enterprise customers. NVIDIA is changing the way people work and play with modern technology.",http://www.nvidia.com/
OPENAI,Growth,"['AI/ML', 'CONSUMER', 'ENTERPRISE']","OpenAI is an AI research and deployment company dedicated to ensuring that general-purpose artificial intelligence benefits all of humanity.  It is dedicated to putting safety and human needs ahead of profit, and believes artificial intelligence has the potential to help people solve immense global challenges.",https://openai.com/
PICSART,Growth,"['AI/ML', 'CONSUMER']","Picsart is a free-to-use ecosystem of content, tools and inspiration. It has amassed one of the largest open-source content collections in the world, with free-to-edit photos, stickers, backgrounds and templates.",http://picsart.com/
PILOT,Growth,"['AI/ML', 'ENTERPRISE']","Pilot is the largest provider of bookkeeping, tax preparation and CFO services for startups and small businesses. It combines intelligent software with world-class accountants to deliver quality books at an affordable price. Pilot automates the mundane work that’s not worth users’ valuable time.",https://pilot.com/
REPLICATE,Early,"['AI/ML', 'ENTERPRISE']","Replicate makes machine learning as easy to use as any other type of software. It has a library of hundreds of open-source models that you can run with a few lines of code. And if you’re building your own machine learning models, Replicate makes it easy to deploy them at scale.",https://replicate.com/
RETOOL,Growth,"['AI/ML', 'ENTERPRISE']","Retool is the fastest way to build internal applications. Instead of coding from scratch, Retool equips developers with the building blocks they need to make the basics and code the rest.",https://retool.com/
ROBUST INTELLIGENCE,Growth,"['AI/ML', 'ENTERPRISE']","Robust Intelligence builds products that integrate seamlessly into the AI-development life cycle to ensure robustness and reliability. Founded by academics at Harvard in 2019, Robust Intelligence’s platform eliminates the risks inherent in AI systems.",https://robustintelligence.com/
SOURCEGRAPH,Growth,"['AI/ML', 'ENTERPRISE']","Sourcegraph is a universal code search tool. It helps developers find and fix things faster across all their code. Sourcegraph also searches every open-source repository so engineers can explore, learn and reference the best community-developed code out there.",https://about.sourcegraph.com/
SYNATIV,Arc,['AI/ML'],"Synativ helps computer vision teams build models for new situations quickly. Its product leverages visual foundation models to turn small datasets into working models with just a few lines of code. No need to wait for data acquisition, data labelling or R&D teams.",https://www.synativ.com/
TACTO,Early,"['ENTERPRISE', 'AI/ML']","Tacto is the AI-based operating system for future-proof supply chains in mid-sized industrials. As the central hub connecting these organizations with their supplier base, Tacto streamlines all procurement workflows, effortlessly ensures compliant and sustainable supply chains, and enables efficient material sourcing. With its solution, Tacto empowers mid-cap industrial organizations to future-proof their supply chains by intelligently procuring materials under optimal conditions with minimal effort.",https://www.tacto.ai/
TAVUS,Seed,"['AI/ML', 'ENTERPRISE']","Tavus makes making personalized 1:1 videos scalable. Using generative AI, it allows users to record once and, using their voice, generate countless videos that are hyper-personalized to each customer.",https://www.tavus.io/
TECTON,Growth,"['AI/ML', 'ENTERPRISE']","Tecton’s enterprise-ready feature store makes world-class machine learning accessible to every company. Its store helps ML teams serve great features quickly, reliably and at scale.",https://tecton.ai/
TELESCOPE,Arc,['AI/ML'],"Telescope is an AI sales assistant that performs prospecting on auto-pilot. Telescope offers a revolutionary SaaS platform that performs B2B cold outreach on auto-pilot. By analysing billions of data points, it finds the right prospect for the right product at the right time and reaches out automatically with a personalised message. Using machine learning techniques, it quickly learns the user’s ideal client profile and becomes more intelligent over time. Telescope enables salespeople to spend less time prospecting for new clients, so they can instead focus on closing deals.",https://www.gotelescope.ai/
TWAIN,Arc,['AI/ML'],"Twain is an AI that increases the conversion rate of your outreach messages. Within seconds you will write a great opener, detect filler words, and learn how to craft call-to-actions that get answers.",https://www.twain.ai/
VEED,Early,"['AI/ML', 'CONSUMER', 'ENTERPRISE']","VEED is a browser-based, collaborative and easy-to-use video creation and editing tool. The product has millions of monthly active users all over the world and with different video editing skills, ranging from prosumers to SMEs and users in the enterprise. Use cases are broad from social media videos, to marketing, sales, HR, training videos, internal communication, etc.",http://veed.io/
VERKADA,Growth,"['AI/ML', 'ENTERPRISE']","Verkada is reinventing video security for the enterprise with a hybrid cloud security solution that makes it simple to manage devices at scale. Verkada’s solution offers the sharpness, modernity and user-friendliness of a consumer product.",https://www.verkada.com/
VISE,Growth,"['AI/ML', 'FINTECH']","Vise automates investment management with AI. Its full-stack platform spans the entire lifecycle of the advisor-client relationship, from customizing and managing client portfolios to providing ongoing intelligence. This frees up financial advisors to focus on what matters most: their client relationships.",https://vise.com/
VISUAL ELECTRIC,Arc,['AI/ML'],"Visual Electric is the first image generator designed for creatives — a canvas that facilitates the flow of ideas, so you can truly spread out and see where the tool takes you. It’s designed to help give form to the vision in your mind’s eye… or lead you to something even better.",https://visualelectric.com/
YOKOY,Growth,"['AI/ML', 'ENTERPRISE', 'FINTECH']","Founded in Switzerland in 2019, Yokoy provides a leading all-in-one solution to automate spend management for midsize and enterprise companies through artificial intelligence (AI). Led by the mission to transform the world of corporate spending from the ground up, Yokoy brings together expense management, invoice processing and the administration of intelligent corporate cards on a single, intuitive platform.",https://yokoy.io/
