,name,stage,intro,website,category1,category2
0,[24]7.AI,Growth,"[24]7.ai uses ai technology to help businesses attract and retain customers with a personalized, predictive and effortless experience. [24]7.ai gives companies the ability to know and act on consumer intent in milliseconds.",https://www.247.ai/,Enterprise,Customer relationship
1,AMP ROBOTICS,Growth,"amp robotics is changing the face of recycling with high-speed guided robotics. powered by advanced computer vision and machine learning, the company’s robotics system automates the identification, sorting and processing done by recycling businesses.",https://www.amprobotics.com/,Enterprise,Other
2,APOLLO.IO,Growth,"apollo.io is the leading b2b sales intelligence and engagement platform, trusted by over 160,000 companies and more than one million users globally, from rapidly growing startups to some of the world’s largest enterprises. apollo.io provides sales teams with easy access to contact data for over 220 million contacts, along with tools to engage with these contacts in one single platform. by helping sales professionals find the most accurate contact information and automating the outreach process, apollo.io turns prospects into customers.",https://www.apollo.io/,Enterprise,Customer relationship
3,AQUARIUM,Seed,aquarium is a machine learning data management system. it helps teams improve their models by improving their datasets.,http://aquariumlearning.com/,AI/ML,Other
4,ARCWISE,Arc,"arcwise is a platform for analytical but non-technical business users to build, publish, and maintain data and ml applications, all from their spreadsheet. they’re building a collaborative workspace to bridge the gap between business operators and technical data experts — ”arcing” the divide between notebooks and spreadsheets. arcwise is the missing tool that would have saved years of person-hours at flexport, where business-critical data applications repeatedly took months to move from spreadsheets to python.",http://arcwise.app/,Enterprise,Other
5,ATHELAS,Growth,"athelas builds sensors and software tools to manage chronically ill patients in the home. it serves over 40,000 patients nationally, and works with national healthcare systems, small practices, and digital health companies to provide telehealth.",https://athelas.com/,AI/ML,Healthcare
6,ATTENTIVE,Growth,"attentive is a personalized text messaging platform for innovative brands. using real-time behavioral data, attentive automatically sends engaging text messages to each subscriber at every step of their customer journey.",https://attentivemobile.com/,Enterprise,Customer relationship
7,AURORA,IPO,"aurora delivers the benefits of self-driving technology safely and efficiently. aurora is solving today’s most complex ai, automation and engineering challenges to catalyze the self-driving revolution.",https://aurora.tech/,Enterprise,Self-driving technology
8,CAPTIONS,Growth,"captions is an ai-powered creative studio. their goal is to enable anyone, anywhere to produce studio-quality videos with just a few quick taps.",https://www.captions.ai/,Consumer,Other
9,CLOSEFACTOR,Early,"closefactor uses machine learning to automatically curate unstructured information about companies and extract meaningful intelligence that go-to-market teams can act on. with this intelligence, we help companies identify their best customers, empower their sales forces at scale, and exceed growth expectations.",https://www.closefactor.com/,AI/ML,Customer relationship
10,CO:HELM,Seed,"co:helm is alleviating the $950 billion administrative burden in the u.s. healthcare by supercharging health plans with ai co:pilots for complex and manual workflows. built on healthcare-ready llm infrastructure, their first co:pilots tackle prior authorizations, streamlining them from hours to minutes and saving millions of dollars in operational overheads. co:helm is founded by ex-clinicians and ai engineers from google and insurtech.",https://www.co-helm.com/,AI/ML,Healthcare
11,COBALT ROBOTICS,Growth,"cobalt robotics uses ai, autonomy and robotic automation to protect people, places and property.",https://cobaltrobotics.com/,Enterprise,Other
12,COBOT,Early,cobot is redefining the future of human-robot interaction by building practical cobots that have human-like capabilities.,https://www.co.bot/,AI/ML,Other
13,CRESTA,Growth,"cresta provides real-time coaching for call centers. by learning from the experts on a team, cresta’s ai trains sales and service representatives to make every conversation with customers count.",https://www.cresta.com/,Enterprise,Customer relationship
14,CTRLSTACK,Early,"ctrlstack provides change intelligence for devops to prevent downtime and identify changes before they impact customers. the platform unifies disconnected data, teams, and tools to connect cause to effect in devops. harnessing the power of those connections, ctrlstack enables automated troubleshooting and serves as the system of record for change management.",https://www.ctrlstack.com/,Enterprise,Customer relationship
15,DUST,Seed,"dust is an ai operating system for smart teams. it reshapes information management in the workplace by combining multiple large language models to process information, making it readily available when needed and in the format that makes sense. dust can augment humans, enhance productivity, foster diversity and facilitate a more dynamic, personalized work experience.",https://dust.tt/,Enterprise,Other
16,EMBARK TRUCKS,IPO,"embark builds software for carriers so they can integrate autonomous trucks into their fleets. its mission: to build a world where consumers pay less for the things they need, drivers stay close to the homes they cherish, and roads are safer for the people they love.",https://embarktrucks.com/,Enterprise,Self-driving technology
17,ENTOS,Early,"entos is disrupting therapeutic discovery with orbnet, a cutting-edge platform that combines ai technology with automated synthetic development. the platform can rapidly generate small-molecule therapeutics.",https://www.entos.ai/,AI/ML,Healthcare
18,FACTORY,Seed,"factory is bringing autonomy to software engineering. factory’s droids robustly, reliably, and autonomously solve engineering tasks, like code review, documentation, testing, debugging, coding, and project management.",https://factory.ai/,Enterprise,Other
19,GITHUB,Acquired,github is the world’s standard for software development. its passionate community helps developers discover and build millions of projects.,https://www.github.com/,Enterprise,Other
20,GLADIA,Seed,"powered by generative ai, gladia is an audio intelligence api distinguished by exceptional accuracy and speed of transcription, extended multilingual capabilities, and state-of-the-art features, including speaker separation, word-level timestamps, and code-switching. it allows companies to easily embed language ai into their products to derive valuable insights from audio data.",https://www.gladia.io/,Enterprise,Other
21,GLEAN,Growth,"glean is the work assistant with intuition. it brings all your company’s knowledge together, so you can search for exactly what you need and discover the things you should know. glean searches across all your company’s apps, using its understanding of who you are, what you’re working on, and who you’re working with, to deliver highly personalized results, instantly. it surfaces knowledge and makes connections with the people who can help—making it easier for you and your team to get big things done.",https://www.glean.com/,Enterprise,Other
22,GONG,Growth,"gong helps revenue teams realize their full potential by sharing customer insights. gong’s platform captures customer interactions and delivers insights at scale so revenue teams feel empowered to make decisions with data. with gong, customers see improved win rates, larger deals and faster employee ramp-up times.",https://www.gong.io/,Enterprise,Customer relationship
23,HARVEY,Early,harvey is a generative ai company backed by sequoia and openai. they partner with elite law firms and professional service providers to augment their expertise with cutting edge ai to tackle the world’s most complex business challenges.,https://www.harvey.ai/,Enterprise,Law firm
24,HEX TECHNOLOGIES,Growth,"hex is a platform for collaborative analytics and data science. with hex, teams can work together across sql, python, r, and no-code. hex notebooks have powerful ai assist built right in, to help generate queries, debug errors, and document code. once finished with analysis, users can publish projects as beautiful, interactive reports that anyone can use. hex is helping hundreds of data teams do amazing things with data, together.",https://hex.tech/,AI/ML,Other
25,HUGGING FACE,Growth,"hugging face is a community-based repository for open-source ml technology. it is a platform that stores, serves, and manages the latest and greatest in open-source ml models, including enabling customers to fine-tune these models and deploy them at scale. hugging face’s secret sauce is its community: it has become a go-to destination for companies and researchers in the world of ml to collaborate. in this respect, it can be loosely analogized to github, but for ml rather than traditional software engineering.",https://huggingface.co/,AI/ML,Customer relationship
26,INSTACART,IPO,"instacart is building the best way for people around the world to shop for groceries and get them delivered instantly. with its vast network of pre-existing grocers and drivers, instacart offers tremendous inventory and convenience to customers. its on-demand service is available in most major u.s. metropolitan areas.",http://instacart.com/,Consumer,Customer relationship
27,IRONCLAD,Growth,"ironclad is a contract lifecycle management platform that enables collaboration and negotiation while maintaining compliance. it’s the only platform flexible enough to handle every type of contract workflow, be it a sales agreement, hr agreement or a complex non-disclosure agreement.",https://ironcladapp.com/,Enterprise,Law firm
28,KEEN TECHNOLOGIES,,keen technologies is john carmack’s agi effort.,https://keenagi.com/,AI/ML,Other
29,KUMO,Growth,"kumo is a saas ai platform for the modern data stack that allows businesses to make faster, simpler, and smarter predictions. founded by several pre-eminent ai executives from companies like pinterest, airbnb, and linkedin, the core technology that underpins kumo’s product has been in development for the past five years through stanford/dortmund labs and pyg open-source software. kumo makes graph learning easy to use – so any business can leverage the power of graph-based ai to better their business.",http://kumo.ai/,AI/ML,Other
30,LILT,Growth,"lilt is the leading ai solution for enterprise translations. their stack, made up of our contextual ai engine, connector apis, and human adaptive feedback, enables global organizations to adopt a true ai translation strategy, focusing on business outcomes instead of outputs. with lilt, innovative, category-defining organizations like intel, asics, walkme, and canva are using ai technology to deliver multilingual, digital customer experiences at scale.",https://lilt.com/,Enterprise,Customer relationship
31,LINEAR,Early,"linear helps developers streamline software projects, sprints, tasks and bug tracking without hampering progress.",https://linear.app/,Enterprise,Other
32,LOOM,Acquired,"loom is a workplace collaboration tool focused on video. it delivers an effective way to communicate in the workplace with quick, instantly shareable videos that get the message across. loom is now part of atlassian.",https://www.loom.com/,Enterprise,Other
33,MEENO,Seed,"meeno’s mission is to help people master the skill of social connection. its mobile app harnesses ai to enhance all relationships: from friends to romance, from family to work.",https://meeno.com/,AI/ML,Other
34,MIRAGE,Arc,"mirage is democratizing 3d content creation. they are making it possible for anyone to unleash their creativity by replacing complex design software with ai-augmented tools. today, they’re redesigning the 3d canvas to enable creatives to visualize 3d concepts and create stunning 2d renders. mirage believes that machine intelligence supercharges human creativity and is the future of content creation. they are committed to helping creatives realize their most ambitious ideas.",https://mirageml.com/,AI/ML,Other
35,MUTINY,Growth,"mutiny is a no-code ai platform helping marketers convert their top-of-funnel demand into revenue without engineers. it gives marketers what they need to drive revenue and prove it, from data and analytics to ai-powered recommendations.",https://www.mutinyhq.com/,Enterprise,Other
36,NEEVA,Acquired,"neeva is the world’s first completely ad-free private search engine. it helps users find exactly what matters to them, whether that information is on the web, in their buried emails or an impossible-to-find document. neeva never shows distracting ads and keeps all searches private.",http://www.neeva.co/,Consumer,Other
37,NOTION,Growth,"notion is a collaborative workspace for teams. with easy doc sharing, free wiki-software, and project tracking, notion makes it easy to add information and find later.",https://www.notion.so/,Consumer,Other
38,NVIDIA,IPO,"nvidia pioneered the art and science of visual computing. its invention of the gpu transformed the pc from a tool for productivity into one for creativity and discovery. enhanced visual graphics benefit everyone, from gamers and scientists to consumers and enterprise customers. nvidia is changing the way people work and play with modern technology.",http://www.nvidia.com/,Enterprise,Customer relationship
39,OPENAI,Growth,"openai is an ai research and deployment company dedicated to ensuring that general-purpose artificial intelligence benefits all of humanity.  it is dedicated to putting safety and human needs ahead of profit, and believes artificial intelligence has the potential to help people solve immense global challenges.",https://openai.com/,Consumer,Other
40,PICSART,Growth,"picsart is a free-to-use ecosystem of content, tools and inspiration. it has amassed one of the largest open-source content collections in the world, with free-to-edit photos, stickers, backgrounds and templates.",http://picsart.com/,Consumer,Other
41,PILOT,Growth,"pilot is the largest provider of bookkeeping, tax preparation and cfo services for startups and small businesses. it combines intelligent software with world-class accountants to deliver quality books at an affordable price. pilot automates the mundane work that’s not worth users’ valuable time.",https://pilot.com/,Enterprise,Other
42,REPLICATE,Early,"replicate makes machine learning as easy to use as any other type of software. it has a library of hundreds of open-source models that you can run with a few lines of code. and if you’re building your own machine learning models, replicate makes it easy to deploy them at scale.",https://replicate.com/,Enterprise,Other
43,RETOOL,Growth,"retool is the fastest way to build internal applications. instead of coding from scratch, retool equips developers with the building blocks they need to make the basics and code the rest.",https://retool.com/,Enterprise,Other
44,ROBUST INTELLIGENCE,Growth,"robust intelligence builds products that integrate seamlessly into the ai-development life cycle to ensure robustness and reliability. founded by academics at harvard in 2019, robust intelligence’s platform eliminates the risks inherent in ai systems.",https://robustintelligence.com/,Enterprise,Other
45,SOURCEGRAPH,Growth,"sourcegraph is a universal code search tool. it helps developers find and fix things faster across all their code. sourcegraph also searches every open-source repository so engineers can explore, learn and reference the best community-developed code out there.",https://about.sourcegraph.com/,Enterprise,Other
46,SYNATIV,Arc,"synativ helps computer vision teams build models for new situations quickly. its product leverages visual foundation models to turn small datasets into working models with just a few lines of code. no need to wait for data acquisition, data labelling or r&d teams.",https://www.synativ.com/,AI/ML,Other
47,TACTO,Early,"tacto is the ai-based operating system for future-proof supply chains in mid-sized industrials. as the central hub connecting these organizations with their supplier base, tacto streamlines all procurement workflows, effortlessly ensures compliant and sustainable supply chains, and enables efficient material sourcing. with its solution, tacto empowers mid-cap industrial organizations to future-proof their supply chains by intelligently procuring materials under optimal conditions with minimal effort.",https://www.tacto.ai/,Enterprise,Other
48,TAVUS,Seed,"tavus makes making personalized 1:1 videos scalable. using generative ai, it allows users to record once and, using their voice, generate countless videos that are hyper-personalized to each customer.",https://www.tavus.io/,Enterprise,Customer relationship
49,TECTON,Growth,"tecton’s enterprise-ready feature store makes world-class machine learning accessible to every company. its store helps ml teams serve great features quickly, reliably and at scale.",https://tecton.ai/,Enterprise,Other
50,TELESCOPE,Arc,"telescope is an ai sales assistant that performs prospecting on auto-pilot. telescope offers a revolutionary saas platform that performs b2b cold outreach on auto-pilot. by analysing billions of data points, it finds the right prospect for the right product at the right time and reaches out automatically with a personalised message. using machine learning techniques, it quickly learns the user’s ideal client profile and becomes more intelligent over time. telescope enables salespeople to spend less time prospecting for new clients, so they can instead focus on closing deals.",https://www.gotelescope.ai/,AI/ML,Other
51,TWAIN,Arc,"twain is an ai that increases the conversion rate of your outreach messages. within seconds you will write a great opener, detect filler words, and learn how to craft call-to-actions that get answers.",https://www.twain.ai/,AI/ML,Other
52,VEED,Early,"veed is a browser-based, collaborative and easy-to-use video creation and editing tool. the product has millions of monthly active users all over the world and with different video editing skills, ranging from prosumers to smes and users in the enterprise. use cases are broad from social media videos, to marketing, sales, hr, training videos, internal communication, etc.",http://veed.io/,Consumer,Other
53,VERKADA,Growth,"verkada is reinventing video security for the enterprise with a hybrid cloud security solution that makes it simple to manage devices at scale. verkada’s solution offers the sharpness, modernity and user-friendliness of a consumer product.",https://www.verkada.com/,Enterprise,Other
54,VISE,Growth,"vise automates investment management with ai. its full-stack platform spans the entire lifecycle of the advisor-client relationship, from customizing and managing client portfolios to providing ongoing intelligence. this frees up financial advisors to focus on what matters most: their client relationships.",https://vise.com/,AI/ML,Other
55,VISUAL ELECTRIC,Arc,"visual electric is the first image generator designed for creatives — a canvas that facilitates the flow of ideas, so you can truly spread out and see where the tool takes you. it’s designed to help give form to the vision in your mind’s eye… or lead you to something even better.",https://visualelectric.com/,AI/ML,Other
56,YOKOY,Growth,"founded in switzerland in 2019, yokoy provides a leading all-in-one solution to automate spend management for midsize and enterprise companies through artificial intelligence (ai). led by the mission to transform the world of corporate spending from the ground up, yokoy brings together expense management, invoice processing and the administration of intelligent corporate cards on a single, intuitive platform.",https://yokoy.io/,Enterprise,Other
